categoria,palabrasClaves
Atención de ejecutivos o asesores,buen trato; cordialidad ejecutivo; contacto ejecutivo; ejecutivo facilidad; buena disponibilidad; ejecutivo atento; informacion clara; cordialidad ejecutivo facilidad; cordialidad ejecutivo facilidad acreditar; ejecutivo facilidad acreditar documentacion; ejecutivo facilidad acreditar; buena disponibilidad buen
Confianza y respaldo de la mutual,confianza seguridad; seguridad confianza; confianza rapidez; seguridad confianza rapidez; experiencia seriedad; confianza calidad; profesionalismo confianza; seriedad profesionalismo; respaldo cchc; seguridad respaldo; confianza seguridad respaldo; prestigio seguridad confianza
Recomendación de terceros,buenas referencias; cercania referencias; tengo buenas referencias; tengo buenas; referencia otros; referencia misma; referencia otros adheridos; buena referencia; otros adheridos; buena referencia misma; buenas referencia; referencias facilidad mandante
Obligación o requerimiento legal,atencion solucion nuestras dudas; atencion solucion; solucion nuestras dudas requerimientos; dudas requerimientos; solucion nuestras; solucion nuestras dudas; atencion solucion nuestras; nuestras dudas; nuestras dudas requerimientos; mi contador; empresa respuesta; mis trabajadores
Cercanía geográfica o conveniencia,ubicacion cercana; cercana empresa; servicio ubicacion cercana empresa; servicio ubicacion cercana; servicio ubicacion; calidad servicio ubicacion cercana; calidad servicio ubicacion; ubicacion cercana empresa; prestigio calidad servicio ubicacion; prestigio calidad servicio; prestigio calidad; calidad servicio
Mala experiencia con la competencia,problemas achs; mala experiencia; sistema atencion; pesimo servicio; anterior administradora; recomendacion prevencionista; recomendacion prevencionista riesgos; servicio achs; pesimo servicio achs; mi prevencionista; mi prevencionista recomendo; prevencionista recomendo
Prestaciones o beneficios ofrecidos,buen servicio; mejor servicio; excelente servicio; confiabilidad servicio; servicio infraestructura; beneficios mis trabajadores; beneficios mis; seguridad calidad servicio; rapidez buen; rapidez buen servicio; mejor servicio calidad; servicio calidad
Rapidez o eficiencia en gestión,atencion rapidez; rapidez atencion; seguridad eficiencia; excelente atencion; rapidez sucursales; seguridad rapidez; rapidez proceso; excelente atencion rapidez; buena atencion rapidez; rapidez buena; rapidez atencion facilidad; rapidez contencion
Motivos económicos,precio claridad informacion; precio claridad; claridad informacion; pre ocupacionales; pre ocupacionales certificacion; examenes pre ocupacionales; examenes pre ocupacionales certificacion; pre ocupacionales certificacion pec; examenes pre; modelo atencion adherente; precio examenes; ocupacionales certificacion
Otro / No especificado,calidad atencion; experiencia anterior; atencion trabajadores; buena atencion; mejor seguridad; queda cerca; otra empresa; atencion disponibilidad; seguridad experiencia; buena experiencia; muchas alternativas; valor recomendacion
